seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,loss,iou,dice,dice crossentropy,accuracy
0,AAAAAAAAALTCZLS2GNZXAXGFK7VBUC6YPLYADMQ_192,4,2,3,445.9298833060002,15,0.5142306494712829,0.485769350528717,0.6534153378009796,0.3443534886837006,0.7988276672363281
1,AAAAAAAAAAAAAAAAAAAHCHGVQT4I7EQAFAHBI4Q_192,4,2,2,162.1164661900002,15,0.0900382900238037,0.9099617099761964,0.9526517343521118,0.7138738858699799,0.9724931335449218
2,AAAAAAAAAAAAAAAAAAADJ56LYPVY4A4KUZQAARY_192,4,2,2,211.7620737039997,15,0.1108602821826934,0.8891397178173065,0.9410236179828644,0.6905202484130859,0.9662843322753908
3,AAAAAAAAAAAAAAAAAAAF2MADYQABTZUZWZQABMA_192,4,2,2,191.91004549599893,15,0.0548261475563049,0.9451738524436952,0.9717797923088074,0.7193923568725586,0.9790430450439452
4,AAAAAAAAAAAAAAAAAD24A4AALQABXPSDGDAADVY_192,4,2,2,116.76967577299912,15,0.7950580394268036,0.2049419605731964,0.339464795589447,0.1834485375881195,0.1976801300048828
5,L4CSYABB3IIOLOFEDAABBMAAQYAALFXDUBT4H5Y_192,4,2,4,71.27979708699968,15,0.0729322648048401,0.92706773519516,0.962122436761856,0.7202464210987091,0.975760498046875
6,AAYQYABNEAB2L3RN4FDUKEABWYABZIQAN6IAHVQ_192,4,2,4,200.3198377280005,15,0.0336989772319793,0.9663010227680208,0.9828572714328766,0.7366835439205169,0.9823860931396484
7,AAAAAAAAAABGBAA2HAADK4ABRQAA3BRANDAAHXA_192,4,2,3,93.38848593900002,15,0.0859582459926605,0.9140417540073394,0.9550036728382112,0.7088816130161285,0.9728317260742188
8,AAAAAAAAAAAAAAAAAEBBBUADIXRJ4LQAMAKMPEI_192,4,2,2,219.94980056900025,15,0.0848867928981781,0.915113207101822,0.9552820456027984,0.6854811108112335,0.971239776611328
9,AAAAAAAABYPQ76H3QEBWA4ADOE3EQMQAELQACBI_192,4,2,3,1260.4020456310009,15,0.0765975415706634,0.9234024584293364,0.9601022231578829,0.7037596118450165,0.9746919250488282
10,AAIQIAGFRIJIXAA6V4DOJVSUOAAA7PQAF6J56QQ_192,4,2,4,402.2017491710012,15,0.0272711551189422,0.9727288448810576,0.9861738681793212,0.737665559053421,0.9832001495361328
11,AAAAAAAADGIWRAAGWAAPKEADZQAAYBVJNDAAGNQ_192,4,2,3,348.66802442399967,15,0.0376206266880035,0.9623793733119964,0.9808168292045594,0.7334680116176605,0.9818058776855468
12,AAAAAAAADW4SBYU6MFDWBMADO4AAHYQADKIAGXA_192,4,2,3,625.3336447850015,15,0.7941704440116882,0.2058295559883117,0.3409647107124328,0.1935749387741089,0.1990599060058593
13,AAAAAAAADWPQNAA5TAAHC4ADWAAA5LQAHJKN7BY_192,4,2,3,7697.253380585,15,0.0393725907802581,0.9606274092197418,0.979908537864685,0.7294754493236542,0.9819501495361328
14,AAAAAAAAAAAAAAAAAAAH3M6R2UZO5YQAC3AAB5Y_192,4,2,2,41.28934092700001,15,0.0567227089405059,0.943277291059494,0.9707661032676695,0.7258049130439759,0.9781019592285156
15,AAAAAAAAAAAAAAAAAAANYEABQCAANJXLFBIAD7A_192,4,2,2,92.51169774799928,15,0.1371870970726013,0.8628129029273987,0.9260602259635924,0.6758395183086395,0.9614439392089844
16,AAAAAAAADCVSB5WNSVZ7IEAD2BTMZOUD4OIADQA_192,4,2,3,2409.8628041310003,15,0.0320984303951263,0.9679015696048736,0.9836791491508484,0.7357289850711822,0.9819524383544922
17,OWF4ZQSNMWAQNAALRT2OZ7KBCAXAQCQAG3YADTA_192,4,2,4,100.21884647899788,15,0.0340005040168762,0.9659994959831236,0.9826971006393432,0.7344424188137054,0.9825428009033204
18,AAAAAAAAAAAAAAAAAAAOLUABSTRE7C5ZWBIAHEQ_192,4,2,2,806.492299318,15,0.0574260735511779,0.942573926448822,0.9703721404075624,0.7264225220680237,0.9773733520507812
19,AA2MYACHA2VKHOCGBQADIMAD6X7HZEQAGJB5AVA_192,4,2,4,188.45951609399992,15,0.7716547346115112,0.2283452653884887,0.3711020278930664,0.3071094942092895,0.2002528381347656
20,AAPRPQCELGRAL5XKRQAGZEABQG7MLCQAHZAAA5Q_192,4,2,4,425.6682114519999,15,0.0280392169952392,0.9719607830047609,0.9857777523994444,0.7382478547096253,0.9833777618408204
21,AAAAAAAAAAAAAAAAAE3MCEADOJ5CIFQAE2WUPEA_192,4,2,2,531.1188958460002,15,0.0358084666728973,0.9641915333271026,0.98175808429718,0.7318491435050964,0.9820751953125
22,AAAAAAAAAAAAAAAAAAAB2EAA64FHXLQAPDIABDA_192,4,2,2,311.95372612799974,15,0.2701469278335571,0.7298530721664429,0.8412630951404572,0.6314868795871734,0.9270624542236328
23,AAAAAAAAAAAO3JXFSQAG2MAAYQUEHPQAPD7RBNA_192,4,2,3,103.03357787200002,15,0.0854723107814788,0.9145276892185212,0.9552976930141448,0.7143666589260101,0.9737824249267578
24,6CEDIABNXQDIR4UHWT36BFOFYK7MYJQAODQAGNQ_192,4,2,4,518.9561238450001,15,0.0337739288806915,0.9662260711193084,0.9828156280517578,0.7366656517982483,0.9824420928955078
25,AAAAAAAAAABSTAAOGAAPZEW7LQRFYIQADIQAB4Q_192,4,2,3,167.44228609500033,15,0.0460356473922729,0.953964352607727,0.9764166271686554,0.7283983290195465,0.980339813232422
26,AA4FIABEEABGJAA4DEJPAPOHIDZKYMQAPKQABTA_192,4,2,4,954.5704586490006,15,0.0368255090713501,0.96317449092865,0.9812332201004028,0.7344260036945343,0.9821929168701172
27,OSGG3VJAQAD2VAA4XS37ZEAA2YABTG5B6CJVGEA_192,4,2,4,960.6589744739996,15,0.0301448059082031,0.9698551940917968,0.9846925926208496,0.7366623377799988,0.9829377746582032
28,AAAAAAAAAAAAAAAAAAANZ4AAWQAAJGQAPBIABRI_192,4,2,2,359.86925949500073,15,0.2549529802799224,0.7450470197200775,0.8516783654689789,0.6277737474441528,0.9330374908447264
29,AALWYAGVIAA2JGX7VQAGK4ADOWAARZQAHKBE2TA_192,4,2,4,520.4757930710002,15,0.0406751298904418,0.959324870109558,0.9792296636104584,0.7295571172237396,0.9812133026123048
30,6COFPAODAAAXR44GQ7DOYVYZ3QAAUB5J5Z7HCQA_192,4,2,4,652.203144133,15,0.05002281665802,0.94997718334198,0.974341118335724,0.7335288202762604,0.9831997680664064
31,AAAAAAAAAAAAAAAAADJ6BUADIMAAIY5JPA3B2EQ_192,4,2,2,553.058407126,15,0.1273457503318786,0.8726542496681213,0.9314207530021668,0.6806867587566375,0.9627050018310548
32,AAAAAAAAAAAAAAAAAAACJMOA3QXBUZQAMZBUI4I_192,4,2,2,100.2924397480001,15,0.0717679965496063,0.9282320034503936,0.9627448177337646,0.723249294757843,0.9759796142578124
33,AA4G7PBPF6F2ZDVO4AAFJEABI6FZZYUAROAABRY_192,4,2,4,7558.604401638001,15,0.1252571213245391,0.8747428786754609,0.9329108047485352,0.7005393612384796,0.964435806274414
34,6CCXIACFYAB2DAA2AQAEDFCJTRVE3CQAMKYABFY_192,4,2,4,231.7931191770004,15,0.0432637381553649,0.956736261844635,0.977881397008896,0.7336319208145141,0.9819279479980468
35,FXEVPTD54ADIFLQLUAAFB4WHCEABYZ4K7IIAB5Y_192,4,2,4,348.75369668200074,15,0.0304542481899261,0.969545751810074,0.984532083272934,0.7380974340438843,0.9829898834228517
36,AAAAAAAAAAAKFAA3TV3NCVCVSOABVH7OCCQACEQ_192,4,2,3,175.65497797900025,15,0.0331781029701232,0.9668218970298768,0.9831236147880554,0.7352561235427857,0.9826305389404296
37,AA74IAHFFGXADAAIM736YEADKEPEFOQABYIAG5Q_192,4,2,4,1995.7621458779977,15,0.0270397233963012,0.9729602766036988,0.98628901720047,0.7360965538024903,0.9833238220214844
38,JRGUY47V7GVWHE4MFAAMDEAASHYPRJ6JUJQAG4Q_192,4,2,4,174.12962622900005,15,0.0330686676502227,0.9669313323497772,0.9831816267967224,0.7362750506401062,0.9827162170410156
39,AAAAAAAAAAAAAAAAAEBGIPSMKEAARLQAE3CF7QA_192,4,2,2,601.874584914,15,0.0628397095203399,0.93716029047966,0.9675215804576872,0.725313104391098,0.9773117065429688
40,AAAAAAAAAABSJAAKUAAOCEAAW6LYNBVBXGJMWHA_192,4,2,3,201.892928406,15,0.0412257480621337,0.9587742519378664,0.9789348268508912,0.7332236576080322,0.9807941436767578
41,AAAAAAAABQX63JQNQAAFDMAA6CAAPOSYDBSQH4Y_192,4,2,3,251.667420966,15,0.0613780546188354,0.9386219453811644,0.9683141887187958,0.7241414487361908,0.9775576019287108
42,AADWIADAMAAIJAA3QQAM3MAAWWAAZDQAEDYAGMI_192,4,2,4,73.112752452,15,0.0551928639411926,0.9448071360588074,0.9716033029556276,0.7283832406997681,0.9792277526855468
43,AAAAAAAAAAAAAAAAACL6Y72DK6AAEDSB5JYACAA_192,4,2,2,2008.247396575,15,0.1236452209949493,0.8763547790050507,0.933587203025818,0.6941269481182099,0.9637664794921876
44,AAAAAAAAAAASJCB6B7LVD7YHIGABZAUCMBIAARI_192,4,2,3,193.18416783300017,15,0.107727962732315,0.8922720372676849,0.942750186920166,0.6889119374752045,0.9675051879882812
45,AAAAAAAADCF2DAAYBOASJUABAUAAJNVCTD74GEQ_192,4,2,3,145.82821663899995,15,0.048782080411911,0.951217919588089,0.9749909329414368,0.7274245226383209,0.9804233551025392
46,AAAAAAAAAAAAAAAAABZOZUAAI4ABVZTKFCG4KBY_192,4,2,2,584.1515210710004,15,0.0513724315166473,0.9486275684833526,0.9736198008060456,0.7298273694515228,0.9803233337402344
47,AAAAAAAAAABGTPVJQAABKEABOVQBVO5ZGYIAC5I_192,4,2,3,126.18734929399945,15,0.0490723848342895,0.9509276151657104,0.9748297429084778,0.7259296476840973,0.979680404663086
48,F4PSJAOMRQFAP4DD4TDHYHQ7SOFC7NTBCKIAAVI_192,4,2,4,417.9111676040002,15,0.792934478521347,0.2070655214786529,0.3426683032512664,0.1771443915367126,0.2242266845703125
49,AAAAAAAAAAAAAAAAAED5YEABYR5KEHQAE27EHHA_192,4,2,2,547.7505524870003,15,0.1052320706844329,0.894767929315567,0.9442950320243836,0.7077017843723297,0.9687586975097656
50,AAAAAAAABOLCFN4GHWAV24AA64AAVLQAGLHTHRI_192,4,2,3,134.98185421800008,15,0.0396069073677063,0.9603930926322936,0.9797729301452636,0.7351411008834838,0.981756591796875
51,AAAAAAAAAAAAAAAAAAAGGNGTO6TAMZRJV3IAAUY_192,4,2,2,195.91842247099976,15,0.1906160759925842,0.8093839240074158,0.8937075781822205,0.6616723108291626,0.950096435546875
52,AAAAAAAAAADK7CDIHAANKEABQOABZJUAPIYABHA_192,4,2,3,231.476537433,15,0.0485259008407592,0.9514740991592407,0.975099081993103,0.729500482082367,0.9795439910888672
53,AAZUOMAR4AAQ5AAYCN352UABKPQGFIQAFZAAHAA_192,4,2,4,294.16905347400007,15,0.0384590351581573,0.9615409648418428,0.980388811826706,0.7366183197498322,0.9822928619384764
54,AAAAAAAAAAAAAAAAANKMJFOVWL4YXNXZT3IACMA_192,4,2,2,327.5101540750002,15,0.032372555732727,0.967627444267273,0.9835387313365936,0.7366277158260346,0.982148666381836
55,AAAAAAAAAAAAAAAAAAAC3MAASGTKXKQAOIDBLDA_192,4,2,2,330.4079228589999,15,0.07311563372612,0.92688436627388,0.9619637525081636,0.718632538318634,0.975074234008789
56,AAZ46URUMAAOLAA7TAAEBUADZSAAQCQANZQAGVY_192,4,2,4,883.8165227589998,15,0.0465574598312377,0.9534425401687622,0.9761524367332458,0.7310311341285706,0.9804975128173828
57,AAAAAAAAAAAAAAAAAPYG352UOOPJVGQACOIAHVY_192,4,2,2,305.422011663999,15,0.0755492413043975,0.9244507586956024,0.9606362450122832,0.7177843809127807,0.9745802307128906
58,AANSYADFPGV6FAAYE6IDZUIZYIABQHQAGDG5X5Y_192,4,2,4,102.14774175300045,15,0.039448754787445,0.960551245212555,0.9798681759834288,0.7342866098880768,0.9819190979003908
59,AAAAAAAAAAAAAAAAAAAOIEAB6DTMLPQANATQDMI_192,4,2,2,774.1161968600009,15,0.0656493020057678,0.9343506979942322,0.9660028088092804,0.7201734673976898,0.9763410186767578
60,AAAAAAAADYZSRCDEQCDPZ4AD6EAB4MQANITMX4I_192,4,2,3,557.3681688500001,15,0.0296091973781585,0.9703908026218414,0.9849693942070008,0.736570919752121,0.983262176513672
61,AAAAAAAAAADI5LQYXVD6GEADQ6AALKX34L2AZDA_192,4,2,3,712.6245998459999,15,0.0513625621795654,0.9486374378204344,0.9736225140094756,0.7301523542404175,0.979499969482422
62,AAGEPE6Q4AAYR2H7TNIPLFKB2WAALAQABBGFTEY_192,4,2,4,1308.6278274630004,15,0.0401521146297454,0.9598478853702546,0.9795039463043212,0.7293318986892701,0.982084732055664
63,AAAAAAAAB2TQXAAHSPBODUAB6AAB7K6KGAJQ7RI_192,4,2,3,697.3819534270006,15,0.0348453056812286,0.9651546943187712,0.9822570145130156,0.7358631598949432,0.9822254180908204
64,AAAAAAAAAADWVAAMSMADIMAAQAAAMJWJ5L6QARA_192,4,2,3,277.7726474939991,15,0.0936089372634887,0.9063910627365112,0.9507807540893556,0.707002854347229,0.9712530517578124
65,AAAAAAAAB6LDT2VMMQAOIEZQWH7P4F4ICDYRJXA_192,4,2,3,573.625393063001,15,0.042779711484909,0.9572202885150908,0.9781299781799316,0.7343083989620208,0.981701889038086
66,AAAAAAAAAAAAAAAAAECHOEADAQJJ3AQAEDQAGMQ_192,4,2,2,216.404539186,15,0.057682579755783,0.9423174202442168,0.9702351534366608,0.7229397451877594,0.9778050994873048
67,AAAAAAAAAAAAAAAAAAAEKX2T2IEIICXC7CWRDNI_192,4,2,2,1473.161946271999,15,0.1051515674591064,0.8948484325408935,0.9442726147174836,0.6923498129844665,0.9680865478515625
68,2CIWONZMMABIHAAMA5GBZUQDCYRKPMSYBKQAC5Y_192,4,2,4,249.4293097940008,15,0.0366867911815643,0.9633132088184356,0.9812968933582306,0.735895220041275,0.9819196319580078
69,AAGB25OFEABCFOCESAAEYX2AYIAAZH6D6OB4LVQ_192,4,2,4,249.4012446530014,15,0.0396945810317993,0.9603054189682008,0.9797411465644836,0.7322624659538269,0.9814888763427736
70,AAAAAAAAAAAAAAAAAMJVBUADSWABVN4ARLQADUI_192,4,2,2,363.8885234000009,15,0.0924894535541534,0.9075105464458466,0.951266508102417,0.6951220345497131,0.970599365234375
71,AAAAAAAAAABYJGMDSSJRIPWISUAA3HQAG6IADUQ_192,4,2,3,130.2247761380022,15,0.0558242321014404,0.9441757678985596,0.9712649273872376,0.7250362753868103,0.9790104675292968
72,AAAAAAAAAAAAAAAAAAAF6F6NIUABQJQAHGDV2RY_192,4,2,2,63.92484198400052,15,0.1022148311138153,0.8977851688861846,0.9459429156780242,0.7025657629966736,0.9689034271240234
73,AAAAAAAAAADKNPRY4QABK4ABDSIN7FQAM3QAARQ_192,4,2,3,270.37525713399737,15,0.347363703250885,0.6526362967491149,0.7848376977443695,0.6077815675735474,0.9177050018310546
74,AAKGYADEPA56BAAEEQAHKUADIMEANJSZ7C7QRBA_192,4,2,4,73.7794273239997,15,0.060195552110672,0.939804447889328,0.96894486784935,0.7244410216808319,0.9776296997070312
75,AAAAAAAADBTWTHXGWXIE2MAAQOABQNQADDAABUI_192,4,2,3,1512.6949291689998,15,0.0812378561496734,0.9187621438503264,0.9575200700759888,0.7144669175148011,0.9737451934814452
76,AAAAAAAABAYKLOUMHNAOKUABOQIF3C6Y5AGBONI_192,4,2,3,357.13480456600155,15,0.0312658250331878,0.968734174966812,0.9841152584552764,0.7371547150611878,0.9832660675048828
77,AAAAAAAABQI2RAAF4QAMBMS4ZSAAYDQAG6AADNY_192,4,2,3,49.368360870998,15,0.0665231621265411,0.9334768378734588,0.965536767244339,0.7247658681869507,0.977223892211914
79,AAAAAAAAAAAAAAAAAFZWCEAA2A4LTPQAEDGMIUI_192,4,2,2,63.22195606199966,15,0.0424187850952148,0.9575812149047852,0.9783191370964052,0.7319929659366607,0.980846481323242
80,AAAAAAAADOVLTKMIAAANYEADGMXHYMTI6AK4CUI_192,4,2,3,484.64768555299815,15,0.0330291426181793,0.9669708573818206,0.983201141357422,0.7328653872013092,0.9824439239501952
81,L4IQYABEFSPYJ7TKFQAMGFK564AATMSCDBCACMY_192,4,2,4,536.2928700659977,15,0.0327826058864593,0.9672173941135408,0.983330203294754,0.7363839864730835,0.9828160858154296
82,AAAAAAAAAAAAAAAAANJS3EAAKRUDQP4CCBIAGXA_192,4,2,2,184.2626882250006,15,0.1250338244438171,0.8749661755561828,0.9328243148326874,0.6987747311592102,0.9649673461914062
83,AAAAAAAAAYUIJAAERQAFOMADGIAAEJUZ5KLBPPA_192,4,2,3,159.7070578439998,15,0.0531570053100586,0.9468429946899414,0.9726783514022828,0.7276536965370178,0.9792156219482422
84,CQ3XYAGHDKVOJAA4QAAM3MAAIINCPC5B4BRF6UY_192,4,2,4,900.1547159799993,15,0.1274471473693847,0.8725528526306152,0.931918569803238,0.7097949993610382,0.9784922790527344
85,AAAAAAAAAAAAAAAAAAAFBFOLTSMYNJ4ZOBRBPTA_192,4,2,2,904.2631019929976,15,0.7975542914867401,0.2024457085132598,0.3360544836521149,0.1912085831165313,0.1956287384033203
86,AAAAAAAAAAAAAAAAABGOK4ADIUAAZBQAEIYADUY_192,4,2,2,338.0520521360013,15,0.7576837992668152,0.2423162007331848,0.3895805501937866,0.1996237635612487,0.3482872009277343
87,AAAAAAAAAAAAAAAAAAANDPW42CABTCQAHGIADVI_192,4,2,2,2148.8415610699994,15,0.1248946237564087,0.8751053762435913,0.9328576803207398,0.6844950759410858,0.9639388275146484
88,AAAAAAAAAABIBAALUAACZVCUSOEFQFQABGCNOMI_192,4,2,3,56.64777181699901,15,0.161022367477417,0.8389776325225831,0.9119320666790008,0.6780227959156037,0.9565702056884766
89,AAAAAAAAAAAAAAAAACISLUAB654ELIQANIZVSQA_192,4,2,2,182.3182696600016,15,0.1017596936225891,0.8982403063774109,0.9461491823196412,0.7088356566429138,0.9692327880859376
90,AAAAAAAAAAAAAAAAAAAM3PGZ2YAAHK4B5ZQAB5Q_192,4,2,2,383.2067360110013,15,0.1656523334980011,0.8343476665019989,0.9094020557403564,0.6619073283672333,0.9528946685791015
91,AAAAAAAAAAAAAAAAAAAOZXGTCZQEQD53E3YACRI_192,4,2,2,556.4873852349992,15,0.0492193090915679,0.950780690908432,0.9747152376174928,0.7234443032741547,0.9793834686279296
92,AAAAAAAADRTAFCA5TMZTZU25AYAB4FQAMC7DAVI_192,4,2,3,707.0770699659988,15,0.1132905387878418,0.8867094612121582,0.9397245121002196,0.6784834170341492,0.9663867950439452
93,AAAAAAAAAY4QVAAFQTY6BEW326AAMGQADDAAHUY_192,4,2,3,320.9331845929992,15,0.1000967013835907,0.8999032986164093,0.9471401143074036,0.7048200154304505,0.9699288177490234
94,AAGWY5CVIOVK7AA5QQAHA7GY2UAA7FQAMJAABNA_192,4,2,4,745.1298711990021,15,0.0530261063575744,0.9469738936424256,0.9727551853656768,0.7264937162399292,0.9793909454345704
95,AAYDIAHRQADWFPVKD7C7OMAA6GEPXOVC7IQAARI_192,4,2,4,529.9574215649991,15,0.0453098499774932,0.9546901500225068,0.976807758808136,0.7224124085903167,0.9807029724121094
96,AAAAAAAADSI2BAAEXVJ5CPCJPQAAEIQAFB34SEA_192,4,2,3,326.59427670199875,15,0.0624783706665039,0.937521629333496,0.9677127146720886,0.7265642619132996,0.9779547119140624
97,AAAAAAAAAAAAAAAAAFANAFIHSSAA4M5BTGAABTA_192,4,2,2,443.4588863560021,15,0.3931739270687103,0.6068260729312897,0.7516856360435485,0.5132649970054627,0.897065658569336
98,AAAAAAAAAABKDP4GSBCXIFWNBSAA3F5GCJYAD4I_192,4,2,3,71.69601187200169,15,0.0355194628238677,0.9644805371761322,0.981908793449402,0.7332290434837341,0.9821971130371092
99,AAAAAAAABWNQNAAPVQAEZNGISMABRLQAHYGRGRA_192,4,2,3,66.51124363299823,15,0.0368042945861816,0.9631957054138184,0.981244957447052,0.7352362799644471,0.9820966339111328
100,AAAAAAAAAAAAAAAAAMCVOMADIGAB3FWJCBLFGVI_192,4,2,2,264.3866128280024,15,0.07177172660827637,0.9282282733917236,0.9627021324634552,0.7104397463798523,0.9751412963867188
101,AA2UIAHMVSQ2LAAG4FCUA7CI66ZCTKQAMGIAC5Y_192,4,2,4,2071.028267724,15,0.0694270300865173,0.9305729699134828,0.9639347183704376,0.7078227543830872,0.9756336212158204
102,AAAAAAAAAAAAAAAAACZUKUADPS3GMH5GNCIADMI_192,4,2,2,466.1588397730002,15,0.797411459684372,0.202588540315628,0.3364422607421875,0.1966034162044525,0.1957109069824218
103,NR7ROEOAYABQNFV7VAAFBF6ZWSABQG5I4I7AKEA_192,4,2,4,556.1532934099996,15,0.0275915741920471,0.9724084258079528,0.9860071468353272,0.7357629990577698,0.9834127807617188
104,AAAAAAAAAAAAAAAAAAAGLUAAQMAAPP6BPKSBGMQ_192,4,2,2,500.5436968449994,15,0.0995870697498321,0.9004129302501679,0.9473951530456542,0.7035282015800476,0.969493408203125
105,6APXZEZBL2TGLAA64PD6CX6X3S7N4CUINBCHBMA_192,4,2,4,1092.7041125639998,15,0.0254716718196868,0.9745283281803132,0.9870972573757172,0.7398076736927033,0.9837218475341796
106,D4YGYADF5WR6TAAEXQAHLUAASEPGVY7KMJDATHA_192,4,2,4,99.849509443,15,0.4215529417991638,0.5784470582008362,0.7320324373245239,0.5231318092346191,0.8752487182617188
107,AAAAAAAAAAAAAAAAAMJUYV6DS4AALYQAGIQAGAY_192,4,2,2,359.1448255140004,15,0.1788379991054535,0.8211620008945465,0.9010582101345064,0.6730668354034424,0.9521894073486328
108,AAAAAAAAAAAAAAAAAAAOLNQZQIAAYYT36JIAC5Y_192,4,2,2,685.217804879001,15,0.0601791739463806,0.9398208260536194,0.968929340839386,0.7238667237758637,0.9777742004394532
109,AAAAAAAAAADDTAAGMQAGONGN7QABYPQACZYACEY_192,4,2,3,129.68245867599944,15,0.0471634662151336,0.9528365337848664,0.9758325457572936,0.732225445508957,0.9805467224121094
110,AAAAAAAAAABC3AA24AANB7RRGKXCTI6BHKDBCUQ_192,4,2,3,413.7954000509999,15,0.7918045949935913,0.2081954050064086,0.3439716184139251,0.2233147954940796,0.1984638214111328
111,AAAAAAAAAAAAAAAAAMCUZUABGKTMQORJPKYADRY_192,4,2,2,389.1012343720013,15,0.1178721320629119,0.882127867937088,0.9369719552993776,0.6955176782608032,0.9658423614501952
112,AAAAAAAADCNJTCSYWAAPZXKX2YABYN6ADDHHBHA_192,4,2,3,486.1800089420012,15,0.0302058184146881,0.969794181585312,0.9846606540679932,0.7344518649578095,0.983083724975586
113,AAAAAAAAAAAAAAAAABOFC4AA2O5OQIXYNJ7E3VQ_192,4,2,2,134.3185544249991,15,0.714814795255661,0.285185204744339,0.4431575608253479,0.2353677034378051,0.4732649993896484
114,AAAAAAAAAAAAAAAAAAAFZMAAXQXCNLQAP3LES5Q_192,4,2,2,309.7841083149997,15,0.0549010360240936,0.9450989639759064,0.9717534899711608,0.7295956945419312,0.9789534759521484
115,AAAAAAAAAAA6F2W4UAABJXYMRQHFVE7DEOJNP5A_192,4,2,3,1006.6418915319992,15,0.0489713561534881,0.951028643846512,0.9748810160160064,0.7224891209602355,0.9799954986572266
116,DREUIADVMABO5D4GUQAMY7YXK5YL3F7YR2YACVI_192,4,2,4,279.23570784000003,15,0.4424877464771271,0.5575122535228729,0.7108849585056305,0.4945361030101776,0.8799655151367187
117,AAAAAAAAAAAAAAAAAAACC4ADKHYGVDQAEKQACMY_192,4,2,2,204.357658899,15,0.0814441013336181,0.918555898666382,0.957486810684204,0.7110421097278595,0.9738136291503906
118,AAOHYVY5AABWPOA3XTJHYM2AYKAAIMSDNBAAHNQ_192,4,2,4,118.41972923499998,15,0.0541471362113952,0.9458528637886048,0.972161318063736,0.72924929022789,0.9788908386230468
119,AAAAAAAAAADPTGF4DQAMYF2DW4HZRDQAGCIABQY_192,4,2,3,699.5796108979994,15,0.7882938873767853,0.2117061126232147,0.3489915454387665,0.1745051169395446,0.203871841430664
120,AANUYACQUQ5Y3OC3RAABAFCVGUAARNQACK25LVI_192,4,2,4,87.22334518500065,15,0.0640317618846893,0.9359682381153108,0.9668988132476808,0.7214220321178436,0.9769940948486328
121,AAAAAAAAAAAAAAAAAAAPJ4ABKMIIRJQACJTNOUY_192,4,2,2,216.9418671169988,15,0.0576823198795318,0.942317680120468,0.9702542686462402,0.7252750754356384,0.9786460876464844
122,AA6RLEZVHQ52HHU6M7GFKUADSWAB4BQAMLIAA4Q_192,4,2,4,558.935448323,15,0.3315470004081726,0.6684529995918274,0.7986868667602539,0.5952342772483825,0.9130197143554688
123,AAAAAAAAAAAAAAAAADLDC5IMTQAAFCTD4AAAAVI_192,4,2,2,58.54152956100006,15,0.3344682586193084,0.6655317413806915,0.7965319979190827,0.5886487352848053,0.9065238189697266
124,AAAAAAAAAAAQXKHEWPIGA5INA6AANZQAE6BTCAY_192,4,2,3,70.55565060899971,15,0.169347448348999,0.8306525516510009,0.906413861513138,0.6629142105579376,0.9518854522705078
125,AAAAAAAAAAAAAAAAAAAPJUW36BXLYNSJ4AIAH4Y_192,4,2,2,901.0131661100004,15,0.0467259788513183,0.9532740211486816,0.976047203540802,0.7223228299617768,0.9804661560058594
126,AA7UYAHBAADQRAA44QAMIFCTGCAA3EUCRCQAHAY_192,4,2,4,2014.0367338950016,15,0.0375632667541503,0.9624367332458496,0.980844337940216,0.7311599707603454,0.9814222717285156
127,AAAAAAAAAAAAAAAAAAABDMABA2AAVZQAEAYAGBY_192,4,2,2,46.372716747002414,15,0.3668241751194,0.6331758248806,0.771456538438797,0.4787082183361053,0.8976554870605469
128,AAAAAAAAAAAAAAAAANJ4B7W3XQAAFPQAOJ2V6VI_192,4,2,2,13796.599272247,15,0.7651689565181732,0.2348310434818268,0.3796668887138367,0.3502101004123688,0.1993313598632812
129,DV4HIAB7DYPGTAAGRBBTCMAB6ZTDXGQAC2PVCUY_192,4,2,4,421.1140214400002,15,0.0427148222923278,0.957285177707672,0.9781635057926178,0.7337179934978485,0.9815281677246094
130,PU4QLN3HAKBIBIUIRAAPI4AAQQRCXHQAFDIACFI_192,4,2,4,353.5572726049977,15,0.0384687066078186,0.9615312933921814,0.9803821730613708,0.7351073002815247,0.9819461822509764
131,AAAAAAAADIVYVAALRMZGYMADGIABRKQACBYAG5I_192,4,2,3,156.52626393399623,15,0.0492970931529998,0.950702906847,0.9747145617008208,0.7301767551898957,0.9803881072998046
